1.283795 1.107936 55.771124 0.556835 31.216323 1.037681 114384642.530260 114384600.000000 8.011252 -0.119120 -0.052429 -0.011396 3.952752 -0.960329 6.214566 9.189595 7.726899 241.326099 0.415039 7 MT1(2-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 290302.849612 0.659071 11420903.030221 1.096894 35960680000000001835008.000000 35960680000000001835008.000000 0.583263 0.203616 0.014533 0.393247 0.164886 -0.038972 0.294675 8.231305 8.171771 25382.180903 0.078378 2 SN1 SN2 
1.260000 1.260000 19871.887587 0.351978 204541.849432 1.096894 3637861000000000000.000000 3637861000000000000.000000 6.984985 -0.879343 -0.979117 0.243278 -0.874613 -0.970939 0.240772 8.204416 7.616481 3142.982300 0.073347 2 SN1 SN2 
1.260000 1.260000 38914.542252 0.187640 560520.350869 1.096894 75703380000000000000.000000 75703380000000000000.000000 1.520020 -0.172251 -0.643602 -0.688093 -0.102646 -0.575641 -0.602539 8.072590 7.930049 6313.973057 0.252909 2 SN1 SN2 
1.260000 1.260000 32852.392417 0.064912 434784.445261 1.096894 43141910000000000000.000000 43141910000000000000.000000 0.258527 0.016024 -0.007251 0.010577 0.026552 -0.008759 0.015996 7.665325 7.644511 5793.816669 0.062795 2 SN1 SN2 
1.302100 1.132270 24.388707 0.563105 8.947747 1.056524 3826295.721405 3826262.000000 5.056499 -0.201547 -0.113580 -0.060116 -6.940778 14.133005 -12.385888 10.116384 8.829329 280.215608 0.060607 5 MT1(2-1) MT1(3-1) SN1 CE2(13-5;13-8) SN2 
1.319378 1.107936 2.432731 0.496849 0.282294 1.051732 578.475159 539.312900 8.527294 -0.052265 -0.004402 -0.116480 12.271217 2.989730 -7.681237 9.783284 7.904695 114.213576 0.369734 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 13267.092669 0.048061 111580.201097 1.096894 1155477000000000000.000000 1155477000000000000.000000 3.214478 0.808125 -0.738582 0.932567 0.818259 -0.730176 0.919596 7.895669 7.655707 2616.443834 0.012717 2 SN1 SN2 
1.316375 1.107936 3.148105 0.378407 0.415818 1.050555 2427.289881 2394.463000 3.831559 -0.043781 0.171043 -0.066069 12.268903 3.405733 0.393437 10.067777 9.376623 116.629950 0.101699 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.334717 1.107936 4.387762 0.770378 0.681644 1.057718 707.557408 675.950100 2.959637 0.093078 0.222758 0.188047 4.767276 -35.667680 1.505742 10.130775 9.676136 162.730983 0.159493 6 MT1(2-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.329198 1.107936 1.175936 0.590690 0.094680 1.055569 50.975099 17.524000 6.371466 0.010000 0.116885 0.067615 -3.426538 16.971740 12.931627 10.434611 8.828963 91.870554 0.221336 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.322667 1.107936 1.197859 0.103480 0.097471 1.053019 121.787769 83.628620 12.784400 0.005452 0.090028 -0.004485 1.218519 9.859992 0.779691 10.829119 7.205881 35.468753 0.002680 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.328201 1.107936 2.240890 0.486513 0.249117 1.055180 438.444228 402.831600 7.291870 -0.036026 0.210608 0.102398 5.591028 0.255509 -7.995732 10.215530 8.389718 68.888790 0.193693 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.293780 1.107936 9.469792 0.845669 2.179584 1.041647 4683.980567 4649.472000 5.650457 -0.265768 0.038126 0.036591 7.000662 14.572687 2.380448 10.083316 8.844934 1109.978536 0.822245 7 MT1(2-1) MT1(3-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.301601 1.194908 27.820998 0.982289 10.765056 1.085477 299.129054 268.005600 1.591870 0.204013 0.025245 0.157156 -12.799560 1.208132 -5.100438 9.963584 9.824009 331.770338 0.382227 5 MT1(2-1) MT1(3-1) SN1 CE2(13-5;13-8) SN2 
1.260000 1.260000 46268.807948 0.667088 726701.341299 1.096894 21743810000000000000.000000 21743810000000000000.000000 5.034256 0.794950 0.844495 -0.076632 0.793698 0.840024 -0.076026 8.070761 7.665057 4208.814916 0.002995 2 SN1 SN2 
1.307218 1.107936 9407.484852 0.999000 68055.248056 1.046957 204172637.817553 204172600.000000 8.748372 -0.181506 0.078836 -0.072807 -14.292718 0.703668 -0.033484 10.054288 8.000145 121.247187 0.172410 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.326289 1.107936 1.235089 0.771019 0.101974 1.054434 38.249056 4.250311 6.364997 -0.186525 0.056301 -0.050561 -6.286800 -14.005769 16.837932 10.322553 8.767758 99.922682 0.100041 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.280664 1.260000 35.778506 0.048639 15.562648 1.105844 59627591.894525 59627550.000000 14.617840 0.349153 -0.011825 -0.020781 0.696669 0.057027 -0.006133 10.385876 6.936796 488.020692 0.571105 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 82344.770415 0.455168 1725351.279939 1.096894 752241200000000065536.000000 752241200000000065536.000000 0.669972 -0.024825 0.249686 -0.019507 -0.120673 0.316485 -0.026922 8.059684 7.996140 31389.936711 0.820718 2 SN1 SN2 
1.346034 1.107936 0.554865 0.789617 0.030582 1.062108 30.334023 0.131705 2.603912 -0.039238 0.118742 -0.111221 -39.652130 2.312723 7.818084 10.328957 10.031456 623.438768 0.879541 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-4;13-7) MT2(13-8) MT2(13-9) SN2 
1.226758 1.107936 0.089390 0.253018 0.002027 1.014654 20.650152 0.002381 8.073288 0.224150 1.355501 -0.405787 -57.369880 33.815626 -30.282716 16.722041 10.255744 276.686033 0.448348 6 MT1(2-1) MT1(4-1) SN1 CE2(13-4;13-7) CE2(13-8;13-13) SN2 
1.307085 1.107936 4.000968 0.782505 0.596913 1.046904 447.085099 411.224200 7.768693 -0.008887 -0.043747 -0.158654 -14.452603 6.500058 11.366409 10.238410 8.325998 134.654522 0.330081 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.293091 1.107936 7.968431 0.632943 1.682614 1.041374 29008.426874 28973.170000 8.565889 -0.149106 0.312377 0.145495 8.239718 -0.357239 1.439961 10.509257 8.285517 354.343323 0.568737 6 MT1(2-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.318586 1.107936 2.135786 0.609319 0.232257 1.051422 204.495880 171.094100 4.211410 0.061297 -0.143079 -0.094323 -15.951314 -1.795857 -7.158784 10.031842 9.225979 179.321555 0.440433 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.315323 1.107936 8.998288 0.673433 2.009850 1.050143 33461.174764 33423.720000 4.328209 0.053758 -0.022738 -0.013035 4.321810 8.052569 11.494722 9.392336 8.684146 87.461068 0.051383 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.285357 1.107936 13.982682 0.684547 3.917523 1.038302 183526.275303 183486.800000 9.455542 0.181970 0.069037 0.060883 -3.024835 -3.648092 8.873364 9.889803 7.770245 236.014681 0.444665 7 MT1(2-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.312493 1.107936 2.452561 0.741400 0.286159 1.049032 133.487331 95.745480 10.406260 0.095809 0.108369 0.039045 -9.305050 11.070411 4.764053 10.381541 7.724390 173.544274 0.515281 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.327596 1.107936 1.482236 0.410182 0.134030 1.054944 138.040748 104.504700 6.535364 0.187746 0.101617 0.056774 15.941913 0.057825 2.765398 10.450503 8.789337 111.904084 0.199575 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.321006 1.107936 3.744281 0.221667 0.538850 1.052369 6961.195330 6927.246000 4.363161 -0.073658 0.145205 0.035730 -4.617511 -1.649819 5.139491 9.965954 9.117364 167.320737 0.435989 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.305567 1.107936 3.988643 0.489274 0.594344 1.046306 4142.783916 4100.748000 11.115560 0.058343 -0.041143 0.011241 -10.186373 0.530479 -5.742273 9.743929 7.328839 65.517740 0.009921 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
1.318498 1.107936 4.635450 0.661816 0.742638 1.051387 2615.957790 2581.033000 6.769722 -0.273010 0.029571 0.101601 -0.622319 1.272648 17.674356 10.224526 8.594424 124.032134 0.004270 7 MT1(2-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.293115 1.107936 58.737968 0.686119 33.674522 1.041384 55830566.603326 55830530.000000 5.582136 -0.229818 -0.038198 0.030263 -10.919965 11.527568 -1.983280 9.710218 8.600031 200.089509 0.031311 7 MT1(2-1) MT1(3-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.284433 1.107936 30.239257 0.182110 12.461387 1.037935 32687120.279007 32687080.000000 7.113834 -0.073753 -0.084489 -0.002922 -5.125914 10.091082 -1.270755 9.382799 8.023903 142.895212 0.164447 7 MT1(2-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.260000 1.260000 63242.920258 0.468616 1161291.825243 1.096894 247555299999999983616.000000 247555299999999983616.000000 2.871723 -0.229120 0.239447 -0.629695 -0.231283 0.235887 -0.625852 7.909956 7.700987 8172.844036 0.170491 2 SN1 SN2 
1.318135 1.107936 2.054298 0.412308 0.219113 1.051245 426.386111 386.966600 10.731470 -0.062095 -0.213525 -0.086578 -13.300529 -10.434157 -1.901805 10.126272 7.568657 98.561774 0.091682 8 MT1(2-1) MT1(8-1) MT1(9-1) SN1 CE2(13-3;13-7) MT2(13-8) MT2(13-9) SN2 
1.368764 1.107936 0.101047 0.194184 0.002366 1.070856 28.194196 0.003632 2.400855 0.321800 -0.075414 0.169127 -47.712528 18.217274 -13.496573 10.701187 10.422952 141.404848 0.077762 5 MT1(2-1) SN1 CE2(13-4;13-7) CE2(13-8;13-13) SN2 
1.260000 1.260000 76036.276700 0.605711 1530927.976357 1.096894 249446400000000000000.000000 249446400000000000000.000000 0.603596 0.529167 -0.561806 0.415002 0.548617 -0.563459 0.316480 8.290651 8.227509 8514.626358 0.371262 2 SN1 SN2 
1.330140 1.107936 1.695803 0.125436 0.163932 1.055936 359.238617 326.886400 6.428672 -0.048203 0.385427 0.227290 6.491329 9.529022 -3.892607 10.670744 8.959268 193.528188 0.445389 6 MT1(2-1) SN1 CE2(13-2;13-7) MT2(13-8) MT2(13-9) SN2 
